,raw_time,raw_win_pct,clean_time,NE_win_pct
111,9:51 - 4th) ,NE 79.8%,3009,79.8
112,9:07 - 4th) ,NE 82.9%,3053,82.9
113,8:59 - 4th) ,NE 81.4%,3061,81.4
114,8:35 - 4th) ,NE 82.9%,3085,82.9
115,8:31 - 4th) ,NE 95.6%,3089,95.6
116,8:24 - 4th) ,NE 82.9%,3096,82.9
117,7:58 - 4th) ,NE 94.8%,3122,94.8
118,7:30 - 4th) ,NE 96.3%,3150,96.3
119,6:45 - 4th) ,NE 95.6%,3195,95.6
120,6:32 - 4th) ,NE 87.9%,3208,87.9
121,5:55 - 4th) ,NE 84.9%,3245,84.9
122,5:13 - 4th) ,NE 85.6%,3287,85.6
123,4:33 - 4th) ,NE 88.4%,3327,88.4
124,4:28 - 4th) ,NE 92.0%,3332,92.0
125,3:40 - 4th) ,NE 92.2%,3380,92.2
126,3:34 - 4th) ,NE 88.6%,3386,88.6
127,2:58 - 4th) ,NE 88.5%,3422,88.5
128,2:10 - 4th) ,NE 87.8%,3470,87.8
129,2:05 - 4th) ,NE 90.8%,3475,90.8
130,1:53 - 4th) ,NE 93.5%,3487,93.5
131,1:49 - 4th) ,NE 97.9%,3491,97.9
132,1:38 - 4th) ,NE 98.2%,3502,98.2
133,1:12 - 4th) ,NE 90.2%,3528,90.2
134,0:52 - 4th) ,NE 93.9%,3548,93.9
135,0:43 - 4th) ,NE 99.9%,3557,99.9
136,0:20 - 4th) ,NE 99.9%,3580,99.9
137,0:12 - 4th) ,NE 99.9%,3588,99.9
138,0:00 - 4th) ,NE 100%,3600,100.0
