,raw_time,raw_win_pct,clean_time,IND_win_pct
107,9:07 - 4th) ,TEN 53.1%,3053,46.9
108,8:24 - 4th) ,TEN 55.7%,3096,44.3
109,7:42 - 4th) ,TEN 65.0%,3138,35.0
110,7:37 - 4th) ,TEN 56.3%,3143,43.7
111,7:27 - 4th) ,TEN 55.1%,3153,44.9
112,6:46 - 4th) ,TEN 62.5%,3194,37.5
113,6:01 - 4th) ,TEN 65.9%,3239,34.099999999999994
114,5:29 - 4th) ,TEN 89.0%,3271,11.0
115,5:21 - 4th) ,TEN 83.7%,3279,16.299999999999997
116,5:06 - 4th) ,TEN 84.4%,3294,15.599999999999994
117,4:25 - 4th) ,TEN 80.8%,3335,19.200000000000003
118,3:39 - 4th) ,TEN 84.3%,3381,15.700000000000003
119,3:02 - 4th) ,TEN 73.4%,3418,26.599999999999994
120,2:49 - 4th) ,TEN 78.7%,3431,21.299999999999997
121,2:41 - 4th) ,TEN 75.0%,3439,25.0
122,2:26 - 4th) ,TEN 75.9%,3454,24.099999999999994
123,2:19 - 4th) ,TEN 90.5%,3461,9.5
124,2:00 - 4th) ,TEN 96.2%,3480,3.799999999999997
125,1:47 - 4th) ,TEN 95.8%,3493,4.200000000000003
126,1:01 - 4th) ,TEN 97.7%,3539,2.299999999999997
127,0:47 - 4th) ,TEN 99.9%,3553,0.09999999999999432
128,0:24 - 4th) ,TEN 99.9%,3576,0.09999999999999432
129,0:17 - 4th) ,TEN 99.9%,3583,0.09999999999999432
130,0:00 - 4th) ,TEN 100%,3600,0.0
