,raw_time,raw_win_pct,clean_time,BUF_win_pct
99,14:28 - 4th),CAR 72.9%,2732,27.099999999999994
100,13:53 - 4th),CAR 75.9%,2767,24.099999999999994
101,13:16 - 4th),CAR 82.6%,2804,17.400000000000006
102,12:36 - 4th),CAR 72.4%,2844,27.599999999999994
103,12:03 - 4th),CAR 74.0%,2877,26.0
104,11:58 - 4th),CAR 75.6%,2882,24.400000000000006
105,11:09 - 4th),CAR 74.3%,2931,25.700000000000003
106,10:31 - 4th),CAR 72.0%,2969,28.0
107,10:25 - 4th),CAR 76.6%,2975,23.400000000000006
108,9:48 - 4th) ,CAR 78.9%,3012,21.099999999999994
109,9:10 - 4th) ,CAR 75.2%,3050,24.799999999999997
110,8:31 - 4th) ,CAR 75.2%,3089,24.799999999999997
111,7:49 - 4th) ,CAR 83.0%,3131,17.0
112,7:06 - 4th) ,CAR 84.4%,3174,15.599999999999994
113,6:27 - 4th) ,CAR 84.6%,3213,15.400000000000006
114,5:44 - 4th) ,CAR 86.1%,3256,13.900000000000006
115,4:58 - 4th) ,CAR 90.5%,3302,9.5
116,4:11 - 4th) ,CAR 93.6%,3349,6.400000000000006
117,4:06 - 4th) ,CAR 88.9%,3354,11.099999999999994
118,3:22 - 4th) ,CAR 89.1%,3398,10.900000000000006
119,2:43 - 4th) ,CAR 82.9%,3437,17.099999999999994
120,2:35 - 4th) ,CAR 78.5%,3445,21.5
121,2:10 - 4th) ,CAR 78.6%,3470,21.400000000000006
122,2:00 - 4th) ,CAR 82.2%,3480,17.799999999999997
123,1:39 - 4th) ,CAR 75.7%,3501,24.299999999999997
124,1:33 - 4th) ,CAR 78.3%,3507,21.700000000000003
125,1:26 - 4th) ,CAR 67.7%,3514,32.3
126,1:06 - 4th) ,CAR 70.2%,3534,29.799999999999997
127,1:01 - 4th) ,CAR 88.6%,3539,11.400000000000006
128,0:53 - 4th) ,CAR 87.8%,3547,12.200000000000003
129,0:30 - 4th) ,CAR 92.8%,3570,7.200000000000003
130,0:14 - 4th) ,CAR 99.9%,3586,0.09999999999999432
131,0:09 - 4th) ,CAR 99.9%,3591,0.09999999999999432
132,0:00 - 4th) ,CAR 100%,3600,0.0
