,raw_time,raw_win_pct,clean_time,JAX_win_pct
106,6:48 - 4th) ,JAX 97.4%,3192,97.4
107,6:43 - 4th) ,JAX 98.5%,3197,98.5
108,6:15 - 4th) ,JAX 97.7%,3225,97.7
109,5:51 - 4th) ,JAX 98.3%,3249,98.3
110,5:43 - 4th) ,JAX 98.9%,3257,98.9
111,5:30 - 4th) ,JAX 99.4%,3270,99.4
112,4:46 - 4th) ,JAX 99.5%,3314,99.5
113,4:40 - 4th) ,JAX 99.4%,3320,99.4
114,4:28 - 4th) ,JAX 99.9%,3332,99.9
115,4:23 - 4th) ,JAX 99.9%,3337,99.9
116,4:15 - 4th) ,JAX 99.1%,3345,99.1
117,3:47 - 4th) ,JAX 98.3%,3373,98.3
118,3:37 - 4th) ,JAX 99.9%,3383,99.9
119,3:29 - 4th) ,JAX 99.6%,3391,99.6
120,3:16 - 4th) ,JAX 99.8%,3404,99.8
121,3:11 - 4th) ,JAX 99.6%,3409,99.6
122,2:28 - 4th) ,JAX 99.7%,3452,99.7
123,2:00 - 4th) ,JAX 99.9%,3480,99.9
124,1:47 - 4th) ,JAX 99.9%,3493,99.9
125,1:44 - 4th) ,JAX 99.9%,3496,99.9
126,1:07 - 4th) ,JAX 99.9%,3533,99.9
127,0:34 - 4th) ,JAX 99.9%,3566,99.9
128,0:00 - 4th) ,JAX 100%,3600,100.0
