,raw_time,raw_win_pct,clean_time,KC_win_pct
114,5:19 - 4th) ,KC 99.9%,3281,99.9
115,4:53 - 4th) ,KC 99.9%,3307,99.9
116,4:44 - 4th) ,KC 99.9%,3316,99.9
117,4:34 - 4th) ,KC 99.9%,3326,99.9
118,4:29 - 4th) ,KC 99.9%,3331,99.9
119,3:41 - 4th) ,KC 99.9%,3379,99.9
120,3:21 - 4th) ,KC 99.9%,3399,99.9
121,3:13 - 4th) ,KC 99.9%,3407,99.9
122,2:57 - 4th) ,KC 99.9%,3423,99.9
123,2:55 - 4th) ,KC 99.9%,3425,99.9
124,2:11 - 4th) ,KC 99.9%,3469,99.9
125,2:00 - 4th) ,KC 99.9%,3480,99.9
126,1:13 - 4th) ,KC 99.9%,3527,99.9
127,1:02 - 4th) ,KC 99.9%,3538,99.9
128,0:57 - 4th) ,KC 99.9%,3543,99.9
129,0:32 - 4th) ,KC 99.9%,3568,99.9
130,0:05 - 4th) ,KC 99.9%,3595,99.9
131,0:00 - 4th) ,KC 100%,3600,100.0
