,raw_time,raw_win_pct,clean_time,NYJ_win_pct
0,14:52 - 1st),BUF 73.1%,8,26.900000000000006
1,14:18 - 1st),BUF 77.2%,42,22.799999999999997
2,13:43 - 1st),BUF 72.7%,77,27.299999999999997
3,13:25 - 1st),BUF 65.0%,95,35.0
4,13:22 - 1st),BUF 78.1%,98,21.900000000000006
5,12:48 - 1st),BUF 79.6%,132,20.400000000000006
6,12:15 - 1st),BUF 79.1%,165,20.900000000000006
7,11:35 - 1st),BUF 70.0%,205,30.0
8,11:01 - 1st),BUF 81.4%,239,18.599999999999994
9,10:33 - 1st),BUF 83.3%,267,16.700000000000003
10,9:56 - 1st) ,BUF 80.1%,304,19.900000000000006
11,9:40 - 1st) ,BUF 79.8%,320,20.200000000000003
12,9:06 - 1st) ,BUF 71.1%,354,28.900000000000006
13,9:02 - 1st) ,BUF 68.8%,358,31.200000000000003
14,8:48 - 1st) ,BUF 78.8%,372,21.200000000000003
15,8:22 - 1st) ,BUF 71.1%,398,28.900000000000006
16,7:38 - 1st) ,BUF 74.8%,442,25.200000000000003
17,7:08 - 1st) ,BUF 72.5%,472,27.5
18,6:57 - 1st) ,BUF 72.1%,483,27.900000000000006
19,6:24 - 1st) ,BUF 71.3%,516,28.700000000000003
20,6:13 - 1st) ,BUF 71.3%,527,28.700000000000003
21,5:39 - 1st) ,BUF 69.8%,561,30.200000000000003
22,5:09 - 1st) ,BUF 68.0%,591,32.0
23,4:29 - 1st) ,BUF 68.4%,631,31.599999999999994
24,4:21 - 1st) ,BUF 69.5%,639,30.5
25,3:45 - 1st) ,BUF 73.3%,675,26.700000000000003
26,3:24 - 1st) ,BUF 73.6%,696,26.400000000000006
27,2:47 - 1st) ,BUF 74.0%,733,26.0
28,1:57 - 1st) ,BUF 67.6%,783,32.400000000000006
29,1:26 - 1st) ,BUF 66.0%,814,34.0
30,1:22 - 1st) ,BUF 71.7%,818,28.299999999999997
31,0:48 - 1st) ,BUF 72.3%,852,27.700000000000003
32,0:20 - 1st) ,BUF 70.8%,880,29.200000000000003
33,15:00 - 2nd),BUF 76.1%,900,23.900000000000006
34,14:30 - 2nd),BUF 63.6%,930,36.4
35,13:59 - 2nd),BUF 65.1%,961,34.900000000000006
36,13:22 - 2nd),BUF 78.2%,998,21.799999999999997
37,12:48 - 2nd),BUF 77.9%,1032,22.099999999999994
38,12:10 - 2nd),BUF 78.7%,1070,21.299999999999997
39,11:26 - 2nd),BUF 81.3%,1114,18.700000000000003
40,11:23 - 2nd),BUF 78.2%,1117,21.799999999999997
41,10:49 - 2nd),BUF 76.4%,1151,23.599999999999994
42,10:09 - 2nd),BUF 82.4%,1191,17.599999999999994
43,9:22 - 2nd) ,BUF 75.9%,1238,24.099999999999994
44,8:45 - 2nd) ,BUF 78.5%,1275,21.5
45,8:05 - 2nd) ,BUF 79.4%,1315,20.599999999999994
46,7:22 - 2nd) ,BUF 79.9%,1358,20.099999999999994
47,6:34 - 2nd) ,BUF 82.1%,1406,17.900000000000006
48,6:16 - 2nd) ,BUF 84.8%,1424,15.200000000000003
49,5:48 - 2nd) ,BUF 82.1%,1452,17.900000000000006
50,5:11 - 2nd) ,BUF 79.6%,1489,20.400000000000006
