,raw_time,raw_win_pct,clean_time,NYJ_win_pct
106,10:40 - 4th),NYJ 74.9%,2960,74.9
107,10:34 - 4th),NYJ 69.2%,2966,69.2
108,9:53 - 4th) ,NYJ 68.7%,3007,68.7
109,9:10 - 4th) ,NYJ 68.2%,3050,68.2
110,8:09 - 4th) ,NYJ 80.0%,3111,80.0
111,7:11 - 4th) ,NYJ 86.6%,3169,86.6
112,7:03 - 4th) ,NYJ 85.5%,3177,85.5
113,6:19 - 4th) ,NYJ 94.2%,3221,94.2
114,5:35 - 4th) ,NYJ 96.0%,3265,96.0
115,4:52 - 4th) ,NYJ 97.6%,3308,97.6
116,4:02 - 4th) ,NYJ 99.3%,3358,99.3
117,3:57 - 4th) ,NYJ 98.9%,3363,98.9
118,3:29 - 4th) ,NYJ 99.5%,3391,99.5
119,3:25 - 4th) ,NYJ 98.6%,3395,98.6
120,3:00 - 4th) ,NYJ 98.1%,3420,98.1
121,2:54 - 4th) ,NYJ 98.2%,3426,98.2
122,2:23 - 4th) ,NYJ 98.9%,3457,98.9
123,2:00 - 4th) ,NYJ 99.2%,3480,99.2
124,1:35 - 4th) ,NYJ 99.2%,3505,99.2
125,1:29 - 4th) ,NYJ 99.3%,3511,99.3
126,1:17 - 4th) ,NYJ 98.5%,3523,98.5
127,1:10 - 4th) ,NYJ 97.0%,3530,97.0
128,1:03 - 4th) ,NYJ 95.3%,3537,95.3
129,0:18 - 4th) ,NYJ 100%,3582,100.0
130,0:10 - 4th) ,NYJ 99.3%,3590,99.3
131,0:00 - 4th) ,NYJ 100%,3600,100.0
