,raw_time,raw_win_pct,clean_time,SD_win_pct
0,14:23 - 1st),KC 75.2%,37,24.799999999999997
1,13:55 - 1st),KC 78.1%,65,21.900000000000006
2,13:17 - 1st),KC 75.8%,103,24.200000000000003
3,12:44 - 1st),KC 77.1%,136,22.900000000000006
4,12:01 - 1st),KC 73.5%,179,26.5
5,11:51 - 1st),KC 73.3%,189,26.700000000000003
6,11:21 - 1st),KC 76.4%,219,23.599999999999994
7,10:40 - 1st),KC 75.5%,260,24.5
8,9:56 - 1st) ,KC 67.7%,304,32.3
9,9:18 - 1st) ,KC 65.2%,342,34.8
10,8:35 - 1st) ,KC 63.4%,385,36.6
11,8:27 - 1st) ,KC 64.1%,393,35.900000000000006
12,7:49 - 1st) ,KC 61.1%,431,38.9
13,7:12 - 1st) ,KC 65.5%,468,34.5
14,6:33 - 1st) ,KC 61.9%,507,38.1
15,6:24 - 1st) ,KC 60.2%,516,39.8
16,6:20 - 1st) ,KC 60.2%,520,39.8
17,6:07 - 1st) ,KC 56.5%,533,43.5
18,5:57 - 1st) ,KC 54.0%,543,46.0
19,5:17 - 1st) ,KC 54.4%,583,45.6
20,4:34 - 1st) ,KC 56.1%,626,43.9
21,4:29 - 1st) ,KC 50.9%,631,49.1
22,3:49 - 1st) ,SD 50.6%,671,50.6
23,3:11 - 1st) ,SD 51.6%,709,51.6
24,2:32 - 1st) ,SD 51.4%,748,51.4
25,1:48 - 1st) ,SD 54.1%,792,54.1
26,1:00 - 1st) ,SD 53.6%,840,53.6
27,0:59 - 1st) ,SD 54.1%,841,54.1
28,0:14 - 1st) ,SD 57.5%,886,57.5
29,15:00 - 2nd),SD 58.7%,900,58.7
30,14:10 - 2nd),SD 58.2%,950,58.2
31,14:06 - 2nd),SD 69.6%,954,69.6
32,13:25 - 2nd),SD 67.3%,995,67.3
33,12:38 - 2nd),SD 69.9%,1042,69.9
34,12:15 - 2nd),SD 73.7%,1065,73.7
35,11:35 - 2nd),SD 75.6%,1105,75.6
36,11:26 - 2nd),SD 72.1%,1114,72.1
37,10:52 - 2nd),SD 79.3%,1148,79.3
38,10:35 - 2nd),SD 74.1%,1165,74.1
39,10:09 - 2nd),SD 75.6%,1191,75.6
40,9:26 - 2nd) ,SD 78.4%,1234,78.4
41,8:44 - 2nd) ,SD 82.0%,1276,82.0
42,7:54 - 2nd) ,SD 85.2%,1326,85.2
43,7:14 - 2nd) ,SD 86.1%,1366,86.1
44,6:30 - 2nd) ,SD 86.3%,1410,86.3
45,5:55 - 2nd) ,SD 89.2%,1445,89.2
46,5:15 - 2nd) ,SD 86.7%,1485,86.7
47,4:29 - 2nd) ,SD 90.5%,1531,90.5
48,3:51 - 2nd) ,SD 89.5%,1569,89.5
49,3:39 - 2nd) ,SD 88.6%,1581,88.6
50,2:58 - 2nd) ,SD 90.9%,1622,90.9
51,2:35 - 2nd) ,SD 89.7%,1645,89.7
52,2:27 - 2nd) ,SD 91.6%,1653,91.6
53,2:20 - 2nd) ,SD 93.7%,1660,93.7
54,2:00 - 2nd) ,SD 93.8%,1680,93.8
55,1:53 - 2nd) ,SD 94.6%,1687,94.6
56,1:13 - 2nd) ,SD 94.1%,1727,94.1
57,1:04 - 2nd) ,SD 93.7%,1736,93.7
58,0:58 - 2nd) ,SD 92.9%,1742,92.9
59,0:40 - 2nd) ,SD 91.1%,1760,91.1
60,0:34 - 2nd) ,SD 92.4%,1766,92.4
61,0:21 - 2nd) ,SD 93.9%,1779,93.9
62,0:16 - 2nd) ,SD 93.6%,1784,93.6
63,0:08 - 2nd) ,SD 93.0%,1792,93.0
64,14:53 - 3rd),SD 95.0%,1807,95.0
65,14:10 - 3rd),SD 90.2%,1850,90.2
66,13:33 - 3rd),SD 95.6%,1887,95.6
67,12:54 - 3rd),SD 93.8%,1926,93.8
68,12:35 - 3rd),SD 94.9%,1945,94.9
69,12:23 - 3rd),SD 95.7%,1957,95.7
70,11:37 - 3rd),SD 95.3%,2003,95.3
71,10:53 - 3rd),SD 97.1%,2047,97.1
72,10:11 - 3rd),SD 97.0%,2089,97.0
73,10:02 - 3rd),SD 97.6%,2098,97.6
74,9:35 - 3rd) ,SD 97.7%,2125,97.7
75,8:56 - 3rd) ,SD 98.2%,2164,98.2
76,8:20 - 3rd) ,SD 98.4%,2200,98.4
77,7:34 - 3rd) ,SD 98.8%,2246,98.8
78,7:01 - 3rd) ,SD 98.4%,2279,98.4
79,6:57 - 3rd) ,SD 98.3%,2283,98.3
80,6:11 - 3rd) ,SD 98.2%,2329,98.2
81,6:02 - 3rd) ,SD 96.3%,2338,96.3
82,5:20 - 3rd) ,SD 95.0%,2380,95.0
83,4:42 - 3rd) ,SD 96.8%,2418,96.8
84,4:03 - 3rd) ,SD 97.8%,2457,97.8
85,3:57 - 3rd) ,SD 95.7%,2463,95.7
86,3:19 - 3rd) ,SD 96.1%,2501,96.1
87,2:47 - 3rd) ,SD 94.3%,2533,94.3
88,2:03 - 3rd) ,SD 95.4%,2577,95.4
89,1:15 - 3rd) ,SD 94.6%,2625,94.6
90,1:10 - 3rd) ,SD 95.6%,2630,95.6
91,0:26 - 3rd) ,SD 98.1%,2674,98.1
92,15:00 - 4th),SD 98.5%,2700,98.5
93,14:55 - 4th),SD 98.2%,2705,98.2
94,14:15 - 4th),SD 98.4%,2745,98.4
95,13:32 - 4th),SD 98.2%,2788,98.2
