,raw_time,raw_win_pct,clean_time,CLE_win_pct
111,4:13 - 4th) ,CLE 71.2%,3347,71.2
112,3:27 - 4th) ,CLE 68.7%,3393,68.7
113,2:42 - 4th) ,CLE 77.9%,3438,77.9
114,2:32 - 4th) ,CLE 69.2%,3448,69.2
115,2:24 - 4th) ,CLE 64.9%,3456,64.9
116,2:14 - 4th) ,CLE 55.2%,3466,55.2
117,2:00 - 4th) ,CLE 66.0%,3480,66.0
118,1:36 - 4th) ,CAR 69.4%,3504,30.599999999999994
119,1:27 - 4th) ,CAR 62.8%,3513,37.2
120,1:20 - 4th) ,CAR 56.5%,3520,43.5
121,1:13 - 4th) ,CAR 70.9%,3527,29.099999999999994
122,1:09 - 4th) ,CAR 72.7%,3531,27.299999999999997
123,0:47 - 4th) ,CAR 61.3%,3553,38.7
124,0:29 - 4th) ,CLE 64.9%,3571,64.9
125,0:13 - 4th) ,CAR 62.8%,3587,37.2
126,0:08 - 4th) ,CLE 99.9%,3592,99.9
127,0:00 - 4th) ,CLE 100%,3600,100.0
