,raw_time,raw_win_pct,clean_time,SEA_win_pct
111,8:59 - 4th) ,SEA 90.4%,3061,90.4
112,8:27 - 4th) ,SEA 87.6%,3093,87.6
113,7:50 - 4th) ,SEA 90.5%,3130,90.5
114,7:45 - 4th) ,SEA 91.9%,3135,91.9
115,7:16 - 4th) ,SEA 94.9%,3164,94.9
116,7:07 - 4th) ,SEA 85.5%,3173,85.5
117,6:33 - 4th) ,SEA 82.2%,3207,82.2
118,6:07 - 4th) ,SEA 80.5%,3233,80.5
119,5:59 - 4th) ,SEA 85.5%,3241,85.5
120,5:26 - 4th) ,SEA 75.8%,3274,75.8
121,4:52 - 4th) ,SEA 72.7%,3308,72.7
122,4:10 - 4th) ,SEA 73.6%,3350,73.6
123,3:44 - 4th) ,SEA 82.7%,3376,82.7
124,3:02 - 4th) ,SEA 80.3%,3418,80.3
125,2:28 - 4th) ,SEA 80.0%,3452,80.0
126,2:14 - 4th) ,SEA 99.5%,3466,99.5
127,2:08 - 4th) ,SEA 99.1%,3472,99.1
128,1:54 - 4th) ,SEA 98.2%,3486,98.2
129,1:48 - 4th) ,SEA 98.6%,3492,98.6
130,1:38 - 4th) ,SEA 92.5%,3502,92.5
131,1:14 - 4th) ,SEA 96.4%,3526,96.4
132,1:04 - 4th) ,SEA 95.1%,3536,95.1
133,0:54 - 4th) ,SEA 99.9%,3546,99.9
134,0:30 - 4th) ,SEA 99.9%,3570,99.9
135,0:00 - 4th) ,SEA 100%,3600,100.0
