,raw_time,raw_win_pct,clean_time,BUF_win_pct
110,7:16 - 4th) ,MIA 59.1%,3164,40.9
111,6:37 - 4th) ,MIA 63.0%,3203,37.0
112,5:51 - 4th) ,MIA 58.0%,3249,42.0
113,5:06 - 4th) ,MIA 56.7%,3294,43.3
114,4:46 - 4th) ,BUF 50.0%,3314,50.0
115,4:40 - 4th) ,MIA 55.2%,3320,44.8
116,4:37 - 4th) ,MIA 51.6%,3323,48.4
117,3:57 - 4th) ,MIA 56.0%,3363,44.0
118,3:14 - 4th) ,BUF 63.5%,3406,63.5
119,2:36 - 4th) ,MIA 54.6%,3444,45.4
120,2:00 - 4th) ,BUF 61.5%,3480,61.5
121,1:55 - 4th) ,MIA 71.5%,3485,28.5
122,1:49 - 4th) ,MIA 88.4%,3491,11.599999999999994
123,1:40 - 4th) ,MIA 66.8%,3500,33.2
124,1:33 - 4th) ,MIA 70.2%,3507,29.799999999999997
125,1:20 - 4th) ,MIA 56.9%,3520,43.1
126,0:56 - 4th) ,MIA 68.4%,3544,31.599999999999994
127,0:50 - 4th) ,MIA 62.1%,3550,37.9
128,0:30 - 4th) ,BUF 50.5%,3570,50.5
129,0:27 - 4th) ,MIA 61.0%,3573,39.0
130,0:18 - 4th) ,MIA 91.5%,3582,8.5
131,0:00 - 4th) ,MIA 100%,3600,0.0
