,raw_time,raw_win_pct,clean_time,SF_win_pct
113,6:01 - 4th) ,CHI 94.5%,3359,5.5
114,5:57 - 4th) ,CHI 92.0%,3363,8.0
115,5:24 - 4th) ,CHI 92.9%,3396,7.099999999999994
116,4:56 - 4th) ,CHI 93.7%,3424,6.299999999999997
117,4:37 - 4th) ,CHI 91.6%,3443,8.400000000000006
118,4:17 - 4th) ,CHI 94.4%,3463,5.599999999999994
119,4:12 - 4th) ,CHI 96.1%,3468,3.9000000000000057
120,3:47 - 4th) ,CHI 99.0%,3493,1.0
121,3:38 - 4th) ,CHI 98.9%,3502,1.0999999999999943
122,3:28 - 4th) ,CHI 98.2%,3512,1.7999999999999972
123,2:29 - 4th) ,CHI 99.4%,3571,0.5999999999999943
124,2:24 - 4th) ,CHI 99.7%,3576,0.29999999999999716
125,2:00 - 4th) ,CHI 99.7%,3600,0.29999999999999716
126,1:59 - 4th) ,CHI 99.8%,3601,0.20000000000000284
127,1:29 - 4th) ,CHI 99.9%,3631,0.09999999999999432
128,0:47 - 4th) ,CHI 99.9%,3673,0.09999999999999432
129,0:30 - 4th) ,CHI 99.9%,3690,0.09999999999999432
130,0:00 - 4th) ,CHI 100%,3720,0.0
