,raw_time,raw_win_pct,clean_time,KC_win_pct
115,7:05 - 4th) ,KC 99.9%,3175,99.9
116,6:21 - 4th) ,KC 99.9%,3219,99.9
117,5:39 - 4th) ,KC 99.9%,3261,99.9
118,4:58 - 4th) ,KC 99.6%,3302,99.6
119,4:42 - 4th) ,KC 99.5%,3318,99.5
120,4:15 - 4th) ,KC 99.6%,3345,99.6
121,3:54 - 4th) ,KC 99.3%,3366,99.3
122,3:30 - 4th) ,KC 98.8%,3390,98.8
123,2:47 - 4th) ,KC 99.6%,3433,99.6
124,2:41 - 4th) ,KC 99.8%,3439,99.8
125,2:00 - 4th) ,KC 99.9%,3480,99.9
126,1:48 - 4th) ,KC 99.8%,3492,99.8
127,0:52 - 4th) ,KC 99.9%,3548,99.9
128,0:45 - 4th) ,KC 99.9%,3555,99.9
129,0:28 - 4th) ,KC 99.9%,3572,99.9
130,0:21 - 4th) ,KC 99.9%,3579,99.9
131,0:07 - 4th) ,KC 99.9%,3593,99.9
132,0:00 - 4th) ,KC 100%,3600,100.0
