,raw_time,raw_win_pct,clean_time,BAL_win_pct
111,5:04 - 4th) ,BAL 99.9%,3416,99.9
112,4:58 - 4th) ,BAL 99.9%,3422,99.9
113,4:33 - 4th) ,BAL 99.9%,3447,99.9
114,4:27 - 4th) ,BAL 99.9%,3453,99.9
115,4:13 - 4th) ,BAL 99.6%,3467,99.6
116,4:10 - 4th) ,BAL 99.4%,3470,99.4
117,3:28 - 4th) ,BAL 99.9%,3512,99.9
118,3:19 - 4th) ,BAL 99.8%,3521,99.8
119,3:14 - 4th) ,BAL 99.9%,3526,99.9
120,2:30 - 4th) ,BAL 99.9%,3570,99.9
121,2:00 - 4th) ,BAL 99.9%,3600,99.9
122,1:15 - 4th) ,BAL 99.9%,3645,99.9
123,0:29 - 4th) ,BAL 99.9%,3691,99.9
124,0:28 - 4th) ,BAL 99.9%,3692,99.9
125,0:23 - 4th) ,BAL 99.9%,3697,99.9
126,0:00 - 4th) ,BAL 100%,3720,100.0
