,raw_time,raw_win_pct,clean_time,DEN_win_pct
109,7:53 - 4th) ,LV 70.1%,3127,29.900000000000006
110,7:16 - 4th) ,LV 61.5%,3164,38.5
111,7:11 - 4th) ,LV 60.3%,3169,39.7
112,6:37 - 4th) ,LV 68.8%,3203,31.200000000000003
113,5:57 - 4th) ,LV 65.1%,3243,34.900000000000006
114,5:18 - 4th) ,LV 73.6%,3282,26.400000000000006
115,4:30 - 4th) ,LV 77.2%,3330,22.799999999999997
116,3:47 - 4th) ,LV 80.9%,3373,19.099999999999994
117,3:03 - 4th) ,LV 84.4%,3417,15.599999999999994
118,2:53 - 4th) ,LV 95.8%,3427,4.200000000000003
119,2:02 - 4th) ,LV 99.0%,3478,1.0
120,1:54 - 4th) ,LV 99.5%,3486,0.5
121,1:50 - 4th) ,LV 99.6%,3490,0.4000000000000057
122,1:38 - 4th) ,LV 99.9%,3502,0.09999999999999432
123,1:28 - 4th) ,LV 99.9%,3512,0.09999999999999432
124,0:57 - 4th) ,LV 99.9%,3543,0.09999999999999432
125,0:35 - 4th) ,LV 99.9%,3565,0.09999999999999432
126,0:00 - 4th) ,LV 100%,3600,0.0
