,raw_time,raw_win_pct,clean_time,IND_win_pct
111,6:29 - 4th) ,JAX 99.9%,3211,0.09999999999999432
112,6:16 - 4th) ,JAX 99.9%,3224,0.09999999999999432
113,5:32 - 4th) ,JAX 99.9%,3268,0.09999999999999432
114,5:21 - 4th) ,JAX 99.9%,3279,0.09999999999999432
115,5:09 - 4th) ,JAX 99.9%,3291,0.09999999999999432
116,4:33 - 4th) ,JAX 99.9%,3327,0.09999999999999432
117,4:24 - 4th) ,JAX 99.9%,3336,0.09999999999999432
118,3:39 - 4th) ,JAX 99.9%,3381,0.09999999999999432
119,3:32 - 4th) ,JAX 99.9%,3388,0.09999999999999432
120,2:45 - 4th) ,JAX 99.9%,3435,0.09999999999999432
121,2:31 - 4th) ,JAX 99.9%,3449,0.09999999999999432
122,2:00 - 4th) ,JAX 99.9%,3480,0.09999999999999432
123,1:16 - 4th) ,JAX 99.9%,3524,0.09999999999999432
124,0:28 - 4th) ,JAX 99.9%,3572,0.09999999999999432
125,0:21 - 4th) ,JAX 99.9%,3579,0.09999999999999432
126,0:14 - 4th) ,JAX 99.9%,3586,0.09999999999999432
127,0:00 - 4th) ,JAX 100%,3600,0.0
