,raw_time,raw_win_pct,clean_time,CAR_win_pct
110,10:56 - 4th),NYG 53.2%,2944,46.8
111,10:46 - 4th),NYG 54.0%,2954,46.0
112,10:07 - 4th),NYG 58.0%,2993,42.0
113,9:25 - 4th) ,NYG 51.0%,3035,49.0
114,8:39 - 4th) ,CAR 53.3%,3081,53.3
115,7:57 - 4th) ,NYG 59.5%,3123,40.5
116,7:15 - 4th) ,NYG 56.7%,3165,43.3
117,6:31 - 4th) ,NYG 66.2%,3209,33.8
118,5:47 - 4th) ,NYG 64.2%,3253,35.8
119,5:07 - 4th) ,NYG 61.4%,3293,38.6
120,4:25 - 4th) ,NYG 55.3%,3335,44.7
121,4:18 - 4th) ,NYG 50.1%,3342,49.9
122,3:34 - 4th) ,NYG 66.5%,3386,33.5
123,2:57 - 4th) ,NYG 64.0%,3423,36.0
124,2:53 - 4th) ,NYG 68.9%,3427,31.099999999999994
125,2:42 - 4th) ,NYG 74.6%,3438,25.400000000000006
126,2:12 - 4th) ,NYG 85.6%,3468,14.400000000000006
127,2:06 - 4th) ,NYG 85.0%,3474,15.0
128,1:54 - 4th) ,NYG 89.1%,3486,10.900000000000006
129,1:50 - 4th) ,NYG 94.8%,3490,5.200000000000003
130,1:00 - 4th) ,NYG 99.9%,3540,0.09999999999999432
131,0:55 - 4th) ,NYG 96.0%,3545,4.0
132,0:27 - 4th) ,NYG 96.9%,3573,3.0999999999999943
133,0:00 - 4th) ,NYG 100%,3600,0.0
