,raw_time,raw_win_pct,clean_time,KC_win_pct
114,6:39 - 4th) ,KC 70.1%,3201,70.1
115,5:58 - 4th) ,KC 76.8%,3242,76.8
116,5:51 - 4th) ,KC 78.3%,3249,78.3
117,5:06 - 4th) ,KC 81.4%,3294,81.4
118,4:48 - 4th) ,KC 72.2%,3312,72.2
119,4:11 - 4th) ,KC 76.3%,3349,76.3
120,3:34 - 4th) ,KC 65.9%,3386,65.9
121,3:03 - 4th) ,KC 72.4%,3417,72.4
122,2:30 - 4th) ,KC 76.3%,3450,76.3
123,2:00 - 4th) ,KC 65.1%,3480,65.1
124,1:55 - 4th) ,KC 67.0%,3485,67.0
125,1:15 - 4th) ,IND 57.2%,3525,42.8
126,0:33 - 4th) ,KC 56.5%,3567,56.5
127,0:24 - 4th) ,IND 89.7%,3576,10.299999999999997
128,0:18 - 4th) ,IND 92.8%,3582,7.200000000000003
129,0:08 - 4th) ,IND 89.5%,3592,10.5
130,0:00 - 4th) ,IND 100%,3600,0.0
