,raw_time,raw_win_pct,clean_time,TEN_win_pct
99,14:39 - 4th),BUF 99.9%,2721,0.09999999999999432
100,14:13 - 4th),BUF 99.9%,2747,0.09999999999999432
101,13:36 - 4th),BUF 99.9%,2784,0.09999999999999432
102,12:54 - 4th),BUF 99.9%,2826,0.09999999999999432
103,12:16 - 4th),BUF 99.9%,2864,0.09999999999999432
104,11:35 - 4th),BUF 99.9%,2905,0.09999999999999432
105,11:30 - 4th),BUF 99.9%,2910,0.09999999999999432
106,10:44 - 4th),BUF 99.9%,2956,0.09999999999999432
107,10:03 - 4th),BUF 99.9%,2997,0.09999999999999432
108,9:18 - 4th) ,BUF 99.9%,3042,0.09999999999999432
109,8:27 - 4th) ,BUF 99.9%,3093,0.09999999999999432
110,7:42 - 4th) ,BUF 99.9%,3138,0.09999999999999432
111,6:59 - 4th) ,BUF 99.9%,3181,0.09999999999999432
112,6:39 - 4th) ,BUF 99.9%,3201,0.09999999999999432
113,6:38 - 4th) ,BUF 99.9%,3202,0.09999999999999432
114,5:54 - 4th) ,BUF 99.9%,3246,0.09999999999999432
115,4:25 - 4th) ,BUF 99.9%,3335,0.09999999999999432
116,3:43 - 4th) ,BUF 99.9%,3377,0.09999999999999432
117,2:59 - 4th) ,BUF 99.9%,3421,0.09999999999999432
118,2:14 - 4th) ,BUF 99.9%,3466,0.09999999999999432
119,2:00 - 4th) ,BUF 99.9%,3480,0.09999999999999432
120,1:15 - 4th) ,BUF 99.9%,3525,0.09999999999999432
121,0:32 - 4th) ,BUF 99.9%,3568,0.09999999999999432
122,0:00 - 4th) ,BUF 100%,3600,0.0
