,raw_time,raw_win_pct,clean_time,TB_win_pct
115,6:30 - 4th) ,TB 99.1%,3210,99.1
116,6:02 - 4th) ,TB 99.4%,3238,99.4
117,5:31 - 4th) ,TB 99.7%,3269,99.7
118,5:03 - 4th) ,TB 99.9%,3297,99.9
119,4:56 - 4th) ,TB 99.5%,3304,99.5
120,4:32 - 4th) ,TB 99.7%,3328,99.7
121,4:29 - 4th) ,TB 99.5%,3331,99.5
122,4:03 - 4th) ,TB 99.9%,3357,99.9
123,3:21 - 4th) ,TB 99.9%,3399,99.9
124,3:08 - 4th) ,TB 99.9%,3412,99.9
125,2:59 - 4th) ,TB 99.9%,3421,99.9
126,2:47 - 4th) ,TB 99.9%,3433,99.9
127,2:42 - 4th) ,TB 99.9%,3438,99.9
128,2:18 - 4th) ,TB 99.9%,3462,99.9
129,2:13 - 4th) ,TB 99.9%,3467,99.9
130,2:00 - 4th) ,TB 99.9%,3480,99.9
131,1:44 - 4th) ,TB 99.9%,3496,99.9
132,1:18 - 4th) ,TB 99.9%,3522,99.9
133,0:51 - 4th) ,TB 99.9%,3549,99.9
134,0:49 - 4th) ,TB 99.9%,3551,99.9
135,0:26 - 4th) ,TB 99.9%,3574,99.9
136,0:00 - 4th) ,TB 100%,3600,100.0
