,raw_time,raw_win_pct,clean_time,ATL_win_pct
111,7:19 - 4th) ,ATL 81.0%,3161,81.0
112,6:29 - 4th) ,ATL 86.0%,3211,86.0
113,5:52 - 4th) ,ATL 82.1%,3248,82.1
114,5:16 - 4th) ,ATL 70.9%,3284,70.9
115,5:12 - 4th) ,ATL 78.7%,3288,78.7
116,4:44 - 4th) ,ATL 74.3%,3316,74.3
117,4:13 - 4th) ,ATL 69.1%,3347,69.1
118,3:40 - 4th) ,ATL 67.7%,3380,67.7
119,3:13 - 4th) ,ATL 61.0%,3407,61.0
120,2:39 - 4th) ,ATL 65.9%,3441,65.9
121,2:16 - 4th) ,ATL 67.0%,3464,67.0
122,2:05 - 4th) ,ATL 68.8%,3475,68.8
123,2:00 - 4th) ,ATL 89.2%,3480,89.2
124,1:29 - 4th) ,ATL 92.5%,3511,92.5
125,1:17 - 4th) ,ATL 89.7%,3523,89.7
126,1:12 - 4th) ,ATL 99.9%,3528,99.9
127,1:01 - 4th) ,ATL 99.9%,3539,99.9
128,0:36 - 4th) ,ATL 99.9%,3564,99.9
129,0:00 - 4th) ,ATL 100%,3600,100.0
